Alfredo Zitarrosa	associated with musician	Ciro Pérez
AC Milan	has chairman	Silvio Berlusconi
Andrews County Airport	runway name	11/29
Disco	derives from	rhythm and blues
(66391) 1999 KW4	has density	2.0 grams per cubic centimetre
AIDAstella	has beam of	32.2 metres
Albuquerque	area codes	505
James Craig Watson	died in	Madison, Wisconsin
Trane	founded in	La Crosse, Wisconsin
Hypermarcas	founded on	January 1, 2001
Alvah Sabin	represented	Vermont's 3rd Congressional District
Montevideo, Uruguay	led by	Tabaré Vázquez
Andrew White	signed to record label	B-Unique Records
300 North LaSalle	has	60 floors
United States	capital is	Washington DC
Big Hero 6	starring	Scott Adsit
Angola International Airport	lies above sea level	159 metres
Abradab	is associated with	Kaliber 44
Ace Wilder	has musical background as	solo singer
United Kingdom	ruler is	Queen Elizabeth II
Andrew Rayel	began musical career in	2009
Terek Grozny FC	is in	Grozny
Ardmore Airport, New Zealand	is situated above sea level	34 meters
Julia Morgan	born in	California
English	is language of	US
GMA New Media	makes	mobile apps
Delta II	launched at	Cape Canaveral Air Force Station
Anders Osborne	signed with	Okeh Records
Douglas R Oberhelman	is key person at	Caterpillar Inc.
NWC	degree	M.A.
Great Britain	language	English
Alhambra	was long	63800.0 millimetres
Malaysia	has ethnic group called	Malaysian Chinese
FC Terek Grozny	managed by	Rashid Rakhimov
New Mexico, U.S.	official language	English
Al Asad Airbase	uses	Lockheed C-130 Hercules transport aircraft
Abraham A. Ribicoff	died in	United States
bhajji	originates from	Karnataka region of India
107 Camilla	epoch date	31 December 2006
United States	President is	Barack Obama
Olympia	is capital of	Washington
United Kingdom	governed by	Elizabeth II
Anderson, Indiana	is above sea level	268
Amatriciana sauce	is a traditional dish from	Italy
AIDAstella	has top speed of	38.892 km/h
Ariane 5	first launched on	March 2, 2004
Andrews County Airport	runway length	896
runway 12R/30L	elevation	211m
1 Decembrie 1918 University	is in	Alba Iulia, Romania
Apollo 8	operated by	NASA
Audi A1	has engine	1.2 litre
AIDAstella	beam	32.2 m
1097 Vicia	mass	9.8 kgs
Ardmore Airport, New Zealand	elevation	34 meters
Akeem Adams	is member of	United Petrotrin F.C. club
Amatriciana sauce	main ingredients are	olive oil
Ayam penyet	consists of	sambal sauce
Aaron Turner	is associated with	Greymachine
Adonis Georgiadis	succeeded by	Makis Voridis
Baku Turkish Martyrs' Memorial	in	Azerbaijan
Aaron Turner	is now in	Lotus Eaters band
Rome	is where	Amatriciana is a traditional sauce
Punjab, Pakistan	is led by	Shehbaz Sharif
Aleksandr Chumakov	died in	Russia
Alan Shepard	awarded	United States Navy Distinguished Service Medal
Anders Osborne	is a	Rock guitarist
Andrews County Airport	elevation	-973 metres
runway 12R/30L	length	2989m
10 Hygiea	escape velocity	0.21 km per sec
Angola International Airport	is above sea level	159m
Arabic	is language spoken in	Philippines
Montevideo	leader is	Daniel Martinez
Singapore	leader is	Halimah Yacob
Alessio Romagnoli	has represented club	U.C. Sampdoria
A Long Long Way	preceded by	Annie Dunne
Atlantic City International Airport	is above sea level	23 metres
Caterpillar Inc.	founded in	United States
Terek Grozny FC	managed by	Rashid Rakhimov
A-Rosa Luna	built on	Neptun Werft
Alan Shepard	graduated in	1957
Allen Forrest	is a	hip hop artist
Azerbaijan	legislature is	National Assembly
Accademia di Architettura di Mendrisio	in	Mendrisio, Switzerland
Bananaman	starring	Bill Oddie
Apollo 12	operated by	NASA
city of Albany	is located within	United States
Baymax	created by	Steven T. Seagle
Atlantic City International Airport	is located in	Egg Harbor Township, New Jersey, United States
Abilene	water area	14.2 sq km
Austin	is capital in	Texas
Buenos Aires	governing body is	Buenos Aires City Legislature
Ayam penyet	is from	Singapore region of Java
Anwar Zaheer Jamali	leads	Punjab Pakistan
Albert B. White	died in	Parkersburg, West Virginia
AIDAstella	built by	Meyer Werft
Superleague of Greece	previous champions	Olympiacos FC
Angola International airport	runway length	4000.0
Andrews County Airport	serves	city of Andrews
Alan Bean	was in space for	100305 minutes
Aleksandr Prudnikov	now plays for	FC Dynamo Moscow
Agra Airport	is located in	Uttar Pradesh
AIDAstella	operated by	AIDA Cruise Line
Agnes Ward White	born in	Marietta, Ohio
Democratic Party	leads	Anderson, Indiana
Delta II	origin	United States
Baymax	is character in	Big Hero 6
Adam Holloway	attended	Magdalene College in Cambridge
A Long Long Way	written in	Ireland
Cornell University	nickname	Cornell Big Red
Anderson, Indiana	elevation	268
Albany	is in	Dougherty County, Georgia, US
Uttar Pradesh	is part of	Bundelkhand
Ariane 5	last flight being on	Sept. 27, 2003
Ahmedabad, Gujarat, India	led by	Gujarat Legislative Assembly
Asunción	part of	Gran Asunción
Netherlands	led by	Mark Rutte
Aleksandr Prudnikov	once played for	FC Spartak Moscow's youth team
A C Milan	managed by	Siniša Mihajlović
Alan Bean	born in	Wheeler, Texas
Baku Turkish Martyrs' Memorial	built using	Red granite
Andrew Rayel	is a	String instrumentalist
Andrews County Airport	is located below sea level	973 metres
United States	is location of	Albany
Elliot See	was student at	University of Texas at Austin
Alan Bean	was born in	Wheeler, Texas
Carnival Corporation & plc	is parent company of	Costa Crociere
United States	inhabitants are known as	Americans
Angola	is in	Indiana
FC Torpedo Moscow	once signed	Aleksandr Chumakov
Alfredo Zitarrosa	died in	Montevideo
A-Rosa Luna	builder is	Neptun Werft
300 North LaSalle	has	60 floors
Asser Levy Public baths	added to National Register of Historic Places with reference number	80002709
Albany	led by	Mayor
India	leader is	Narendra Modi
bionico	flavoured with	honey
Aston Martin DBS	made by	Aston Martin
AIDAstella	operated by	AIDA Cruises
Spain	is	Felipe VI led
Aaron Deer	is an	Indie rock soloist
Asam pedas	is from	Malay Peninsula region
United States	uses language	English
Hypermarcas	is a	pharmaceutical company
107 Camilla	discovered by	N.R. Pogson
Acharya Institute of Technology	location	Bangalore
Above the Veil	is sequel to	Castle
United States	inhabitants are referred to as	Americans
Adisham Hall	in	Sri Lanka
Allama Iqbal International Airport	serves	Lahore
Alan Shepard	was an	American
Cornell University	publisher of	Administrative Science Quarterly
Adolfo Suarez Madrid-Barajas airport	elevation	610 metres
Olympiacos F.C.	were past champions in	Greece Superleague
Malaysian chinese	are an ethnic group from	Malaysia
Gujarat	leader is	Gujarat Legislative Assembly
AC Milan	managed by	Siniša Mihajlović
France	leaders are	Claude Bartolone
Andrew Rayel	is associated with musical artist	Sylvia Tosun
Vermont	largest city is	Burlington
France	leaders are	Gerard Larcher
1 Decembrie 1918 University	is located in city of	Alba Iulia
United States	include ethnic group	African Americans
Austrian German	is language of	Austria
Alberto Teisaire	was from	Argentina
Aaron Turner	has been with	Lotus Eaters band
Anders Osborne	is associated with musical artist	Billy Iuso
London	leader is	European Parliament
Alberto Teisaire	died in	Buenos Aires
Binignit	is from	Visayas region of the Philippines
Albuquerque, New Mexico	is in	United States
Houston Texans	location	Houston
Georgia, Vermont	largest city	Burlington
Abradab	born in	Katowice, Poland
Alan Shepard	became member of	Apollo 14 crew
Alan Shepard	was born on	18 November 1923
Alan Frew	is a	musician
Great Britain	language	English
AEK Athens FC	manager is	Gus Poyet
Agnes Kant	was a	Parliamentary group leader
Binignit	featuring	banana
Baku Turkish Martyrs' Memorial	made of	red granite
United Kingdom	capital is	London
Fountain County	is in	Indiana
Al Asad airbase	aircraft include	Lockheed AC-130
Mulatu Teshome	is leader in	Ethiopia
Alhambra	built by	Samuda Brothers
Andrews County Airport	has runway name	11/29
Aaron Turner	performed with	Twilight
Cornell University	nicknamed	Cornell Big Red
Ashgabat International Airport	is above sea level	211 metres
Sergio Mattarella	is a leader in	Italy
Alvah Sabin	was	Vermont Secretary of State
Ahmet Ertegun	musical genre is	Rhythm and Blues
Bananaman	first aired on	10th March 1983
United States	capital is	Washington DC
Angola International Airport	is in	Ícolo e Bengo, (Luanda Province)
Vila Nova Futebol Clube	won	Campeonato Brasileiro Série C league
AIDAluna	owned by	AIDA Cruises
Alvah Sabin	started active service on	1853-03-04
Carroll County Maryland	is southeast of	Adams County
Artur Rasizade	is leader of	Azerbaijan
Trane	has	29000 employees
Baku Turkish Martyrs' Memorial	in	Azerbaijan
Austin	is capital city of	Texas
Antares rocket	had final flight on	18th of September 2013
Buzz Aldrin	was back up pilot of	Apollo 8
Stuart Parker	is member of	Chesterfield FC
Baku Turkish Martyrs memorial	in	Azerbaijan
Aaron Deer	is from	Indiana
Aaron Deer	musical genre	indie rock
Airbus Defence and Space	manufactures	Ariane 5
Alvah Sabin	started active service on	03/04/1853
Albany	led by	Mayor
107 Camilla	epoch date	December 31st 2006
Atlantic City International Airport	has runway name	4/22
Accademia di Architettura di Mendrisio	established in	1996
250 Delaware Avenue	is located in	United States
Chinabank	was founded in	Manila
Adam Holloway	was a MP for	Gravesham
Alvah Sabin	member of	United States Whig Party
Asilomar Conference Grounds	designed by	Julia Morgan
U.S. Democratic Party	is headquartered in	Washington, D.C.
Trane	location	Swords, Dublin
Abilene Regional Airport	has ICAO location identifier	KABI
Italy	is home of	Amatriciana sauce
AFC Blackpool	is located in	Blackpool
Ajoblanco	includes main ingredients	water
Barack Obama	is President of	United States
Antioch	is part of	Contra Costa County
Antares rocket	launched at	Mid-Atlantic Regional Spaceport Launch Pad 0
Douglas R Oberhelman	is key person at	Caterpillar Inc.
Ferencvarosi TC	chaired by	Gabor Kubatov
Bhangra	is fusion of	rock
United States	has ethnic group	African American
Daniel Martinez	is leader of	Montevideo
Paraguay	is led by	Juan Afara
Antares rocket	launched at	Mid-Atlantic Regional Spaceport Launch Pad 0
Allan Sandage	was doctoral student of	Walter Baade
Hailemariam Desalegn	is leader in	Ethiopia
Ayam penyet	is a	hot food dish
Al Kharaitiyat SC	home ground	Al Khor
250 Delaware Avenue	cost	110 million dollars
Baku Turkish Martyrs' Memorial	designed by	Hüseyin Bütüner
Arlington	is located in	Tarrant County, Texas
U.S.	native language	English
Sri Jayawardenepura Kotte	leader is	Ranil Wickremesinghe
Baku Turkish Martyrs' Memorial	found in	Azerbaijan
Cornell University	is in	Ithaca, New York
Ajoblanco	made with	garlic
Humphrys, Tennant and Dykes	is located in	Deptford
Baku Turkish Martyrs' Memorial	native name	Türk Sehitleri Aniti
Trane	has net income of	$556 million
Aston Martin V8	assembled in	United Kingdom
Anderson, Indiana	is in	US
Felipe Gozon	is key person on board	GMA New Media
Adolfo Suárez Madrid–Barajas Airport	elevation	610 metres
Al Kharaitiyat SC	is located in	Al Khor
Texas	is in	U.S.A.
Alan Shepard	born	November 18th, 1923
Elizabeth II	is one of leaders of	United Kingdom
Uttar Pradesh	is part of	Awadh
Baked Alaska	served in	Hong Kong
Mestizo people	are an ethnic group in	Paraguay
Indonesia	led by vice president	Jusuf Kalla
Lockheed AC-130	is an	attack aircraft
Angola International Airport	has runway length	4000.0
Adisham Hall	construction took place between	1927 and 1931
Houston	is largest city in	Texas
Baku Turkish Martyrs' Memorial	is located in	Azerbaijan
Bionico	served for	dessert
Albuquerque	is in	New Mexico, U.S.
Hip Hop music	has origins in	Disco
Paraguay	one ethnic group is	Mestizo people
1089 Tama	has orbit	1,202.846 days
Banyumasan people	are an ethnic group from	Java
Alan Bean	was crew member of	Apollo 12
Asser Levy Public baths	added to National Register of Historic Places on	23 April 1980
AC Milan	managed by	Siniša Mihajlović
Elliot See	died in	St. Louis
Susana Diaz	is leader of	Andalusia
Delta II	launched from	Vandenberg Air Force Base
Bananaman	also starred	Tim Brooke-Taylor
Aleksandr Chumakov	has played for	FC Torpedo Moscow
Alberto Teisaire	branch	Argentine Navy
Albuquerque	is in	New Mexico
101 Helena	discovered by	James Craig Watson
Alfredo Zitarrosa	died in	Montevideo
Aleksandr Chumakov	died in	Russia
Netherlands Socialist Party	leader is	Emile Roemer
Aaron Deer	is a	solo singer/performer
Atlanta Falcons	owned by	Arthur Blank
Standard Chinese	is spoken in	Singapore
Al Asad Airbase	operated by	United States Air Force
NRBQ	genre	rock music
Mondelez International	founded in	Chicago
Duncan Rouleau	created	Baymax
Andra	was born in	Campia Turzii
Trane	has total revenue of	$10,264,000,000
Aston Martin DBS	related to	Aston Martin Virage
Spanish	is one of the languages spoken in	Texas
Austin	is capital of	Texas
Ampara Hospital	has	476 beds
Austin	is state capital of	Texas
Uttar Pradesh	leader is called	Ram Naik
Appleton International Airport	runway length	2439
1 Decembrie 1918 University	is in	Alba Iulia, Romania
Akita, Akita	is part of	Akita Prefecture
city of Albany	is part of	Benton County
School of Business and Social Sciences at Aarhus University	has	16,000 students
Alessio Romagnoli	has played for	UC Sampdoria
Angola International Airport	is above sea level	159 metres
Alaa Abdul-Zahra	plays for	AL Kharaitiyat SC
Abdulsalami Abubakar	served in	Nigerian Army
Allama Iqbal International Airport	is in	city of Lahore, Punjab, Pakistan
Andra	was born in	1986
Cornell University	affiliated with	Association of American Universities
Ximo Puig	is a leader of	Valencian Community
USAF	is equipped with	Lockheed AC-130
Alfredo Zitarrosa	died in	Montevideo, Uruguay
Uruguay	leader is	Raúl Fernando Sendic Rodríguez
Mid-Atlantic Regional Spaceport Launch Pad 0	is launch site of	Antares rocket
N.R. Pogson	died in	Chennai
U.S.	capital is	Washington DC
Sri Lanka	currency is	Sri Lankan rupee
Singapore	language spoken	English
Ardmore Airport	runway length	1,411
GMA New Media	founded on	January 01,2000
Ethiopia	led by	Mulatu Teshome
Andrew Rayel	is associated with	Jonathan Mendelsohn
Akita, Akita	is part of	Akita Prefecture
Andra	occupation is	singing
Death metal	is a fusion of	black metal
Rock music	originated from	country music
AIDAstella	length	253260.0 millimetres
Angola	part of	Steuben County, Indiana
Austin	is capital of	Texas
Baku Turkish Martyrs' Memorial	constructed out of	red granite
Ahmet Ertegun	is from	Washington D.C., in the United States
Beef kway teow	available nationwide in	Singapore
Asuncion, Paraguay	is	Spanish speaking
Albert B White	died at	Parkersburg, West Virginia
Ab Klink	born in	Stellendam
Bandeja paisa	contains	lemon
Andrew Rayel	is associated with musical artist	Lira Yin
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army soldiers killed in Battle of Baku
(66391) 1999 KW4	apoapsis measurement	162164091.8388 kms
Ajoblanco	contains	water
University of Texas at Austin	competed in	Big 12 Conference
10 Hygiea	epoch date	June 27, 2015
Aleksandr Chumakov	belonged to	Soviet Union national football team
Bionico	is a type of	food
Antares rocket	manufactured by	Yuzhnoye Design Office
Abdul Taib Mahmud	birth place	Kingdom of Sarawak
Asilomar Conference Grounds	constructed in	1913
Alison O'Donnell	played	Irish folk music
Ardmore Airport (New Zealand)	elevation	34 m
Antonis Samaras	born in	Athens
101 Helena	discovered by	James Craig Watson
Elliot See	died in	St Louis
Buenos Aires	governed by	Buenos Aires City Legislature
Alan Shepard	graduated in	1957
Agremiação Sportiva Arapiraquense	managed by	Vica
Anders Osborne	genre is	Rhythm and blues
Austria	language	Austrian German
ska punk music	is a form of	punk rock
Alfredo Zitarrosa	is a	Zamba solo singer
101 Helena	discovered on	August 15th, 1868
Ampara Hospital	has	476 beds
1089 Tama	escape velocity	0.0068 km/sec
United Kingdom	language spoken	English
Socialist Party	uses colour	red
Antares rocket	comparable to	Delta II (United States)
United States	language	English
Ardmore Airport, New Zealand	has runway length	1,411 meter
Alfredo Zitarrosa	background is	solo singing
United States	led by	Barack Obama
Asian Americans	is one ethnic group in	United States
Asam pedas	is a food found in	Malay Peninsula region, Malaysia
Abilene Regional Airport	runway length	2194.0
Adam Holloway	served in	Grenadier Guards
Abilene, Texas	area code	325
Alberto Teisaire	was a	Rear Admiral
Abraham A Ribicoff	died in	United States
Lazio region	is in	Italy
Texas	capital city is	Austin
Allan Sandage	was doctoral student of	Walter Baade
Baku Turkish Martyrs' Memorial	in	Azerbaijan
Baku Turkish Martyrs' Memorial	constructed out of	white marble
3Arena	is located in	Dublin, Leinster
bhangra music	is a musical fusion of	rock music
Andrew White	is associated with	Kaiser Chiefs
FC Terek Grozny	managed by	Rashid Rakhimov
Madrid	is part of	community of Madrid
Anders Osborne	associated with	Johnny Sansone
Trane	has net income of	$556,300,000
250 Delaware Avenue	is located in	United States
Japan	leader is	Tarō Asō
Sri Lanka	currency is	Sri Lankan Rupee
Elliot See	died in	St. Louis
Alfredo Zitarrosa	signed to	RCA records
(66063) 1998 RO1	epoch is	13th of January 2016
Ahmet Ertegun	born on	1923
Burlington	is largest city in	Vermont
Anderson, Indiana	area	107.43 square kilometres
Elliot See	was born in	Dallas
James Craig Watson	died in	Madison, Wisconsin
John Madin	designed	103 Colmore Row
Agremiação Sportiva Arapiraquense	ground at	Estádio Municipal Coaracy da Mata Fonseca
A Severed Wasp	originates from	United States
Fort Worth	is county seat of	Tarrant County
Brian Robertson	plays	trombone
Aaron Turner	has played with	Twilight
Alex Day	is associated with	Charlie McDonnell
Auburn, Alabama	is in	United States
Bhangra	is a musical fusion of	rock music
Ariane 5	maiden flight on	11 August 2005
Albany	located in	Dougherty County
Buenos Aires	leader is	Gabriela Michetti
Abilene, Texas	total area	286.5 sq km
Spain	currency	Euro
Alison O'Donnell	is signed to	Static Caravan Recordings
Allan Sandage	was doctoral student of	Walter Baade
Aaron Turner	plays	electric guitar
Baku Turkish Martyrs' Memorial	native name	Türk Şehitleri Anıtı
Netherlands	led by	Mark Rutte
Audi A1	made in	Brussels, Belgium
Ayam penyet	is a dish from region of	Java
Alhambra	has power type	Humphrys, Tennant and Dykes
U.S.	capital is	Washington DC
Montevideo, Uruguay	led by	Daniel Martinez
Turkey	leader is	Artur Rasizade
Ace Wilder	was born on	23 July 1982
Tomatoes	are main ingredients in	Amatriciana sauce
Abilene	is in	Texas
Montevideo, Uruguay	is home to	Uruguayans
Aleksandr Prudnikov	plays for	Terek Grozny FC
Andrew Rayel	is associated with	Christian Burns
United States	language	English
Audi A1	belonging to class	supermini
Aston Martin V8	assembled in	United Kingdom
1089 Tama	apoapsis	373513000.0 kms
Alvah Sabin	represented	Vermont's 3rd Congressional District
Spain	language spoken is	Spanish
Arros negre	comes from	Valencian Community
Aston Martin DBS	manufactured by	Aston Martin
Stuart Parker	plays for	KV Mechelen
Walter Baade	discovered	1036 Ganymed
James Craig Watson	died in	Madison, Wisconsin
11th Mississippi Infantry monument	is located in municipality of	Gettysburg, Adams County, Pennsylvania
Aston Martin	is manufacturer of	Aston Martin DBS
Malaysia	is home to	Malaysian Indian
Above the Veil	was followed by	Into Battle
Arlington, Texas	is in	Tarrant County
Flemish Region	owns	Antwerp International Airport
School of Business and Social Sciences at Aarhus University	affiliated with	European University Association
Indonesia	currency is	Indonesian rupiah
Elliot See	attended	University of Texas at Austin
Joe Biden	is a leader of	United States
(66391) 1999 KW4	epoch date	14 July 2004
Socialist Party	led by	Emile Roemer
United States	leader is	president
Ardmore Airport, New Zealand	operated by	Civil Aviation Authority of New Zealand
Walter Baade	was born in	German empire
Anders Osborne	has worked with	Tab Benoit
Baku Turkish Martyrs' Memorial	is located in	Azerbaijan
Alberto Teisaire	worked as	Provisional President of the Argentine Senate
Andra	was born	1986
Stuart Parker	is member of	Chesterfield FC
3Arena	is located in	Dublin
Ajoblanco	includes main ingredients	olive oil
Baku Turkish Martyrs' Memorial	constructed using	red granite
Vermont	state represented by	Alvah Sabin
Anderson, Indiana	elevation	268.0
U.S.A.	ethnic group	Asian Americans
Paraguay	leader is called	Juan Afara
Alfons Gorbach	born in	Imst
United States Air Force	has fought in	Korean War
Agustin Barboza	was born in	Paraguay
Agremiação Sportiva Arapiraquense	has	17000 members
Indonesia	language is	Indonesian
Andrew Rayel	was a	string instrumentalist
Antonis Samaras	in office while	Konstantinos Mitsotakis was Prime Minister
US	capital city is	Washington DC
Above the Veil	was followed by	The Violet Keystone
Addis Ababa Stadium	is located in	Addis Ababa, Ethiopia
African Americans	are an ethnic group within	United States
Anderson	is located in	Indiana
Alfredo Zitarrosa	associated with	Ciro Perez
German	is language spoken in	Belgium
Opelika	is county seat of	Lee County, Alabama
Caterpillar Inc	provides engine power to	AIDAluna
Akita Museum of Art	is located in	Akita, Akita
Asser Levy Public baths	style of architecture	Romanesque Revival
Gus Poyet	previously played for	Chelsea FC
Aaron Turner	formerly played with	Twilight band
Ardmore Airport (New Zealand)	operated by	Civil Aviation Authority of New Zealand
white Americans	are major ethnic group of	US
Accademia di Architettura di Mendrisio	has	600 students
Agustin Barboza	was born in	Asuncion, Paraguay
Texas	largest city is	Houston
Antwerp International Airport	owned by	Flemish Region
Azerbaijan	leader is	Prime Minister of Azerbaijan
School of Business and Social Sciences at Aarhus University	established in	1928
Andra	was born in	Romania
300 North LaSalle	is located in	Chicago
Atlas II	sent from	Vandenberg Air Force Base
Williamson County	is in	Texas
Accademia di Architettura di Mendrisio	established in	1996
Accademia di Architettura di Mendrisio	in	Switzerland
Adolfo Suárez Madrid-Barajas Airport	elevation	610 metres
Delta II rocket	launched from	Vandenberg Air Force Base
Alan Shepard	born in	New Hampshire
Gregory L. Fenves	is President of	University of Texas at Austin
Uruguay	language is	Spanish
Cornell University	nickname is	Cornell Big Red
ALV X-1	originates from	United States
Andrew Mitchell	is a leader in	Birmingham
107 Camilla	periapsis	479,343,000 kilometres
Antwerp International Airport	operated by	Flemish department of Mobility and Public Works
AEK Athens FC	compete in	Superleague Greece
Delta II	is comparable to	Antares rocket
Alfred Garth Jones	died in	Sidcup, London
AIDAstella	is long	253260.0 millimetres
Alan Shepard	chosen in	1959
Alvah Sabin	member of	Whig Party
Chinabank	has	295 branches
AC Milan	is chaired by	Silvio Berlusconi
A.C. Milan	managed by	Siniša Mihajlović
A severed Wasp	is a novel from	United States
1089 Tama	has epoch	November 26th, 2005
Aaron Turner	performed with	House of Low Culture
Abdul Taib Mahmud	lives in	Demak Jaya, Jalan Bako, Kuching, Sarawak
University of Texas in Austin	is affiliated to	university of Texas system
Texas	is part of	United States
Alan Shepard	selected by NASA in	1959
Aaron Turner	is associated with	Greymachine band
Akeem Adams	former clubs include	United Petrotrin FC
James Craig Watson	discovered	101 Helena
Abdulsalami Abubakar	served in	Nigerian Army
Bakso	is dish from	Indonesia
Walter Baade	discoverer of	1036 Ganymed
Agremiação Sportiva Arapiraquense	play in	Campeonato Brasileiro Série C.
United States	ethnic group	Asian Americans
Baymax	is character in	Big Hero 6
Texas	is in	U.S.
Addis Ababa City Hall	is located in	Addis Ababa, Ethiopia
Meyer Werft	built	AIDAstella
Albuquerque	in	New Mexico
University of Texas at Austin	is affiliated to	University of Texas system
Ashgabat International Airport	has runway length	2989.0
Agnes Kant	nationality	Netherlands
Ayam penyet	is a dish comprising	smashed fried chicken served with sambal
(66391) 1999 KW4	has orbital period	16244700
Ayam penyet	contains	fried chicken
Walter Baade	born in	German Empire
United States	is	English speaking country
Ardmore Airport (New Zealand)	runway name	03R/21L
Dallas	is a county in	Texas
107 Camilla	discovered by	F Vilas
Vila Nova Futebol Clube	are champions of	Serie C
10 Hygiea	surface area	837080.744 sq km
U.S.	language spoken is	English
Agra Airport	is located in	Uttar Pradesh
Indianapolis	is capital of	Indiana
Los Angeles Rams	play home matches at	Los Angeles Memorial Coliseum
AFC Blackpool	manager is	Stuart Parker
Sri Jayawardenepura Kotte	is capital of	Sri Lanka
Dublin	is part of	Republic of Ireland
Adolfo Suárez Madrid-Barajas Airport	is located in	Madrid
Italians	is name given to people from	Italy
Andra	is a	Rhythm and blues solo singer musician
Buzz Aldrin	was back up pilot of	Apollo 8
United States Air Force	deploy	Lockheed AC-130
United States	capital is	Washington, D.C.
New York City	is location of	Asser Levy Public Baths
Alan Shepard	was born in	New Hampshire
Antonis Samaras	served with	Adonis Georgiadis
Antwerp International Airport	elevation	12.0 metres
Atlantic City International Airport	known by ICAO location identifier	KACY
US Airforce	has aircraft fighter	McDonnell Douglas F-15 Eagle
United States	ethnic group	African Americans
Hong Kong	political leader is	Carrie Lam
Adolfo Suárez Madrid–Barajas Airport	runway length	3500
Death metal	is a fusion of	black metal
Adisham Hall	is located in	Haputale, Sri Lanka
Ayam penyet	comes from	Singapore
Olusegun Obasanjo	took over from	Abdulsalami Abubakar
Sri Lanka	capital is	Sri Jayawardenepura Kotte
Alba Iulia	is in	Romania
Antares rocket	made first flight on	October 28, 2014
Japan	leader is	Taro Aso
United States Delta II	launched at	Vandenberg Air Force Base
1089 Tama	orbital period lasting	1202.846 days
Angola International Airport	runway length	4000ft
Aaron Turner	played with	Twilight
(66391) 1999 KW4	escape velocity	zero
Sri Lanka	capital is called	Sri Jayawardenepura Kotte
Andrew Rayel	is an associate of	Armin van Buuren
Austria	leader is	Doris Bures
Alvah Sabin	started active service on	1853-03-04
1097 Vicia	escape velocity	0.0112 km/sec
Azerbaijan	leader is	Artur Rasizade
Antares rocket	produced at	Yuzhnoye Design Office
Ayam penyet	is from	Singapore
FC Torpedo	managed by	Valery Petrakov
Al Asad airbase	operated by	United States Air Force
William Anders	retired on	September 1st 1969
Abilene	population density	429.9 inhabitants per square kilometre
Angola International airport	is above sea level	159 meters
US	inhabitants	Americans
Adenan Satem	educated at	University of Adelaide
Elliot See	was born in	Dallas
New York City	part of	New York
Hypermarcas	is a	pharmaceutical company
Williamson County	county seat	Georgetown
Bananaman	last episode broadcast on	April 15th, 1986
Invasion of Grenada	involved	United States Air Force
Antwerp International Airport	located in	city of Antwerp
Joe Biden	is politician in	United States
A Long Long Way	comes from	Ireland
Albuquerque	area codes	575
Washington, D.C.	is capital of	U.S.
Aston Martin V8	next model was	Aston Martin Virage
Auburn	is part of	Lee County, Alabama
Alan Frew	is from	Coatbridge, Newmarket, Ontario, Canada
Hong Kong	one political leader is	Carrie Lam
Albert B. White	succeeded by	William M O Dawson
Burlington	is largest city in	Vermont
Asilomar Conference Grounds	constructed in	1913
United States	capital is	Washington, D.C.
10 Hygiea	temperature	164.0 kelvins
United States	led by a	President
Raúl Fernando Sendic Rodríguez	is leader of	Uruguay
Walter Baade	born in	German Empire
Ícolo e Bengo	is in	Luanda Province
Alison O'Donnell	became active in	1963
Akeem Dent	also played for	Houston Texans
Angola International Airport	is situated above sea level	159 meters
Antares rocket	is similar to	Delta II rocket
Antwerp International Airport	runway length	600.0
United States	inhabitants are known as	Americans
Spain	leader is	Felipe VI
Spain	currency is	euro
United Kingdom	capital city is	London
Abilene Regional Airport	has runway name	17R/35L
Ariane 5	has diameter of	5.4 metres
Alan Shepard	was born on	18th of November, 1923
United States	inhabitants are known as	Americans
United Kingdom	leaders are	Elizabeth II
France	spoken language is	French
Vila Nova Futebol Clube	won	Campeonato Brasileiro Série C league
Andrews County Airport	is located in	Texas
Aaron Turner	played with	Lotus Eaters Band
Bangalore	in state of	Karnataka
United States	ethnic group	Asian Americans
Socialist Party in Netherlands	led by	Emile Roemer
James Craig Watson	nationality	Canadian
Austin University	part of	university of Texas system
Raul Fernando Sendic Rodriguez	is a leader in	Uruguay
Barny cakes	comes from	France
Ashgabat International Airport	has runway name	12R/30L
Walter Baade	born in	German Empire
Netherlands	led by	Mark Rutte
Ariane 5	launched from	Guiana Space Centre
Alan Bean	spent in space	100305 minutes
Asser Levy Public baths	built in	1904
Java	ethnic group	Banyumasan people
Andrew Rayel	is associated with	Jwaydan
Agra Airport	ICAO location identifier	VIAG
Java	country of	Ayam penyet
Apollo 12	crew members included	Alan Bean
Alan Shepard	graduated from	NWC MA
Auburn	is part of	King County, U.S.
Ace Wilder	was born in	Sweden
Ampara Hospital	has	476 bed
Campeonato Brasileiro Série C.	in	Brazil
Anders Osborne	started musical performing in	1989
Ampara Hospital	location	Eastern Province of Sri Lanka
Allama Iqbal International airport	serves	Lahore, Pakistan
Acharya Institute of Technology	located at	In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India
Texas	capital is	Houston
Apollo 12	operated by	NASA
Akron, Ohio	is in	Summit County
Caterpillar Inc.	provides power to	AIDAluna
Anderson, Indiana	elevation	268.0 above sea level
Azerbaijan	Prime Minister is	Artur Rasizade
